month,rank,symbol,base_asset,median_volume_30d,avg_volume_30d,volume_samples
2021-08,1,BTCUSDT,BTC,1639441277.9392958,1991168023.274769,30
2021-08,2,ETHUSDT,ETH,1363285966.1664572,1479114094.945334,30
2021-08,3,BNBUSDT,BNB,423936170.565408,431765851.68252796,30
2021-08,4,DOGEUSDT,DOGE,248837860.251184,305767697.9406432,30
2021-08,5,XRPUSDT,XRP,221411484.896455,259416915.78623217,30
2021-08,6,ADAUSDT,ADA,188964879.15268052,215234578.3470966,30
2021-08,7,ETCUSDT,ETC,93232623.6659465,97118070.47836466,30
2021-08,8,LINKUSDT,LINK,90969516.6905065,114191633.52464274,30
2021-08,9,THETAUSDT,THETA,88763782.0234805,103668348.39773287,30
2021-08,10,LTCUSDT,LTC,66511075.6097818,69075457.07621484,30
2021-08,11,VETUSDT,VET,56342968.097163,66611159.50438877,30
2021-08,12,EURUSDT,EUR,56282747.0447585,59492342.59653226,30
2021-08,13,CHZUSDT,CHZ,47469742.8479355,63071283.55754873,30
2021-08,14,BCHUSDT,BCH,41346553.87421845,46265148.71296282,30
2021-08,15,TRXUSDT,TRX,40084222.1966665,44595970.91906734,30
2021-08,16,COMPUSDT,COMP,32781088.87679355,42316871.97101001,30
2021-08,17,ATOMUSDT,ATOM,31631382.103072003,35509418.7358113,30
2021-08,18,XLMUSDT,XLM,26779356.4890165,31942541.27159513,30
2021-08,19,NEOUSDT,NEO,18298197.702842,27824661.589064233,30
2021-08,20,IOSTUSDT,IOST,12417602.0684345,13144881.935431933,30
2021-08,21,FETUSDT,FET,11725028.221324,13997391.524024634,30
2021-08,22,XTZUSDT,XTZ,11251396.506097,11482726.800351266,30
2021-08,23,ALGOUSDT,ALGO,10773823.4302405,11310288.878186567,30
2021-08,24,IOTAUSDT,IOTA,10359523.101919,11548722.642681833,30
2021-08,25,HBARUSDT,HBAR,9890228.5377225,12973905.3203254,30
2021-09,1,BTCUSDT,BTC,2401197256.274811,2396812612.0439463,30
2021-09,2,ETHUSDT,ETH,1993755569.0762496,2135698097.8910637,30
2021-09,3,ADAUSDT,ADA,751916042.0782205,849973485.2537194,30
2021-09,4,XRPUSDT,XRP,620516163.43484,675014993.3936664,30
2021-09,5,BNBUSDT,BNB,616246393.234164,651281322.3047414,30
2021-09,6,DOGEUSDT,DOGE,590918452.2117136,674044180.8002532,30
2021-09,7,DOTUSDT,DOT,342832580.8746345,392237920.4398908,30
2021-09,8,SOLUSDT,SOL,330845874.2009085,452023039.68695724,30
2021-09,9,LINKUSDT,LINK,161392344.739654,167754524.30178785,30
2021-09,10,VETUSDT,VET,139710130.038108,147058560.69849473,30
2021-09,11,ETCUSDT,ETC,136752123.81167752,170103201.44319075,30
2021-09,12,LTCUSDT,LTC,119468304.392574,124714817.97518574,30
2021-09,13,THETAUSDT,THETA,105725446.9825665,115234904.74822903,30
2021-09,14,CHZUSDT,CHZ,89911694.171087,106572705.34416647,30
2021-09,15,TRXUSDT,TRX,81705707.321551,86684110.23591894,30
2021-09,16,EURUSDT,EUR,69844245.4475625,62417210.18984127,30
2021-09,17,BCHUSDT,BCH,69429258.0002271,73597307.50485657,30
2021-09,18,SUSHIUSDT,SUSHI,61448331.188321,66957927.23902424,30
2021-09,19,ATOMUSDT,ATOM,56845965.935063004,81348933.4210214,30
2021-09,20,SANDUSDT,SAND,53203673.733504,92837322.99168064,30
2021-09,21,XLMUSDT,XLM,48310260.3311645,53088865.29647767,30
2021-09,22,NEOUSDT,NEO,46900218.9585175,50793003.04271493,30
2021-09,23,ALGOUSDT,ALGO,37534763.686282,40574426.557312295,30
2021-09,24,CRVUSDT,CRV,31953931.1296625,32958528.8209785,30
2021-09,25,COMPUSDT,COMP,31438109.56007145,32166957.679136276,30
2021-10,1,BTCUSDT,BTC,2098458299.1708481,2360161519.180118,30
2021-10,2,ETHUSDT,ETH,1563328395.8743687,1869803625.2052372,30
2021-10,3,SOLUSDT,SOL,1026002077.62625,1227187063.645348,30
2021-10,4,ADAUSDT,ADA,558730062.26965,726572198.9405141,30
2021-10,5,BNBUSDT,BNB,512087005.1105005,526783159.5734667,30
2021-10,6,DOTUSDT,DOT,467895475.3442065,570381276.3930414,30
2021-10,7,AVAXUSDT,AVAX,453380211.16445,583817548.6500554,30
2021-10,8,XRPUSDT,XRP,428889848.93625,527135216.91884226,30
2021-10,9,ATOMUSDT,ATOM,254206342.8265,292751642.6682092,30
2021-10,10,DOGEUSDT,DOGE,233572556.2377,277767166.10455567,30
2021-10,11,LINKUSDT,LINK,207636586.7153585,235385132.34508237,30
2021-10,12,ALGOUSDT,ALGO,153225751.3929865,233396451.7554377,30
2021-10,13,LTCUSDT,LTC,128381132.85695,188724206.26802337,30
2021-10,14,TRXUSDT,TRX,122590725.14877,169983326.0547035,30
2021-10,15,XTZUSDT,XTZ,109490962.46360901,138103844.84679717,30
2021-10,16,VETUSDT,VET,106726105.11596149,126624128.02508113,30
2021-10,17,THETAUSDT,THETA,100108057.9455,129312956.05516557,30
2021-10,18,EGLDUSDT,EGLD,82955386.38655001,107167389.6865308,30
2021-10,19,ETCUSDT,ETC,80326381.61205,118920462.64292607,30
2021-10,20,HBARUSDT,HBAR,74475153.9337,89032743.46137077,30
2021-10,21,UNIUSDT,UNI,73837731.223219,94005915.57334979,30
2021-10,22,SUSHIUSDT,SUSHI,69242077.06729999,89470721.27043931,30
2021-10,23,IOSTUSDT,IOST,68141703.065455,88052866.64309652,30
2021-10,24,CRVUSDT,CRV,57077099.929467,60214495.10350173,30
2021-10,25,CHZUSDT,CHZ,54334783.1032,67032611.2112119,30
2021-11,1,BTCUSDT,BTC,2860212962.9133873,2941977854.1913385,30
2021-11,2,ETHUSDT,ETH,1684234422.915533,1769816452.075906,30
2021-11,3,SOLUSDT,SOL,581466206.222,625620170.0406266,30
2021-11,4,BNBUSDT,BNB,514202055.85385,543172857.1159776,30
2021-11,5,DOTUSDT,DOT,444179921.07065,518181306.2426484,30
2021-11,6,XRPUSDT,XRP,432593437.75345004,471504644.353196,30
2021-11,7,DOGEUSDT,DOGE,402783936.0174,747241339.4028672,30
2021-11,8,ADAUSDT,ADA,285621865.23145,322142927.6393206,30
2021-11,9,FILUSDT,FIL,264516710.74855,264678598.17294332,30
2021-11,10,TRXUSDT,TRX,198578302.7627285,205694431.77388105,30
2021-11,11,AVAXUSDT,AVAX,181506961.6804,197235031.81294,30
2021-11,12,LINKUSDT,LINK,152985998.60785002,168783010.59991667,30
2021-11,13,ATOMUSDT,ATOM,117802131.40305,127818043.66412333,30
2021-11,14,LTCUSDT,LTC,112320601.08825,127562920.38633202,30
2021-11,15,VETUSDT,VET,105664430.13904399,114473104.84922867,30
2021-11,16,THETAUSDT,THETA,91156556.28475,106353537.3971893,30
2021-11,17,NEARUSDT,NEAR,83818009.5115,100461250.6322944,30
2021-11,18,ALGOUSDT,ALGO,71608944.9177,89458304.35966666,30
2021-11,19,ETCUSDT,ETC,66101406.61615,84529291.8668409,30
2021-11,20,XLMUSDT,XLM,60391033.6894,72402042.70742334,30
2021-11,21,CHZUSDT,CHZ,55928374.67205,139629917.8880587,30
2021-11,22,CRVUSDT,CRV,53106121.1917,78336488.90250807,30
2021-11,23,UNIUSDT,UNI,52266168.33905,57427133.36010333,30
2021-11,24,XTZUSDT,XTZ,52141644.04435,79960289.24148764,30
2021-11,25,BCHUSDT,BCH,51756715.9547,56648293.47403,30
