month,rank,symbol,base_asset,median_volume_30d,avg_volume_30d,volume_samples
Feb-20,1,BTCUSDT,BTC,426921549.5,468072745.1,30
Feb-20,2,ETHUSDT,ETH,60132097.25,69214336.06,30
Feb-20,3,ETCUSDT,ETC,43373988.25,57057487.92,30
Feb-20,4,LTCUSDT,LTC,29219085.66,32472333.69,30
Feb-20,5,BNBUSDT,BNB,27530069.11,28617644.82,30
Feb-20,6,XRPUSDT,XRP,27115931.78,30836387.45,30
Feb-20,7,TRXUSDT,TRX,18246810.76,18550227.13,30
Feb-20,8,LINKUSDT,LINK,10085166.66,11066797.83,30
Feb-20,9,ADAUSDT,ADA,8579295.123,11620113.28,30
Feb-20,10,XLMUSDT,XLM,6905865.711,7652190.043,30
Feb-20,11,VETUSDT,VET,3825623.931,4313514.413,30
Feb-20,12,ONTUSDT,ONT,3175739.142,3494423.507,30
Feb-20,13,NEOUSDT,NEO,3007667.116,3624064.949,30
Feb-20,14,QTUMUSDT,QTUM,2017662.951,2755851.917,30
Mar-20,1,BTCUSDT,BTC,544880747.3,537812011.2,30
Mar-20,2,ETHUSDT,ETH,170006802.8,180675849.2,30
Mar-20,3,BNBUSDT,BNB,65138737.38,62784001.04,30
Mar-20,4,XRPUSDT,XRP,54928192.72,68256942.99,30
Mar-20,5,LTCUSDT,LTC,51444936.32,52859383,30
Mar-20,6,LINKUSDT,LINK,44514366.45,43564235.21,30
Mar-20,7,ETCUSDT,ETC,38566481.1,43947189.8,30
Mar-20,8,TRXUSDT,TRX,23163214.88,27779532.53,30
Mar-20,9,ADAUSDT,ADA,16612891.3,19028205.08,30
Mar-20,10,XLMUSDT,XLM,11664564.57,12275047.01,30
Mar-20,11,NEOUSDT,NEO,9659827.969,11195659.81,30
Mar-20,12,VETUSDT,VET,7333384.603,8521696.791,30
Mar-20,13,ONTUSDT,ONT,6077966.556,7802532.692,30
Mar-20,14,QTUMUSDT,QTUM,5493731.157,6105965.632,30
Mar-20,15,IOTAUSDT,IOTA,3979546.988,4492219.661,30
Mar-20,16,FETUSDT,FET,2122912.85,2053549.803,30
Apr-20,1,BTCUSDT,BTC,729773767.2,808791661.6,30
Apr-20,2,ETHUSDT,ETH,156615110.6,191169414.5,30
Apr-20,3,BNBUSDT,BNB,56886915.08,59051552.95,30
Apr-20,4,LINKUSDT,LINK,47658899.87,58013792.86,30
Apr-20,5,XRPUSDT,XRP,40031550.54,49553241.27,30
Apr-20,6,LTCUSDT,LTC,30818242.8,36826724.75,30
Apr-20,7,ETCUSDT,ETC,20112930.66,22340154.81,30
Apr-20,8,ADAUSDT,ADA,9864653.403,12122433.64,30
Apr-20,9,TRXUSDT,TRX,9625280.332,12401510.95,30
Apr-20,10,DASHUSDT,DASH,7146684.278,9594917.445,30
Apr-20,11,VETUSDT,VET,5579044.349,6429939.91,30
Apr-20,12,NEOUSDT,NEO,5316226.833,6272665.525,30
Apr-20,13,ZECUSDT,ZEC,5035753.406,6171407.537,30
Apr-20,14,XLMUSDT,XLM,3908536.926,5046112.09,30
Apr-20,15,ONTUSDT,ONT,3247121.749,4065061.536,30
Apr-20,16,QTUMUSDT,QTUM,2915966.22,3755522.676,30
May-20,1,BTCUSDT,BTC,499551047.6,604176519.6,30
May-20,2,ETHUSDT,ETH,164063236.4,177336709.9,30
May-20,3,BNBUSDT,BNB,58085844.48,58796421.32,30
May-20,4,LINKUSDT,LINK,50769212.42,56123357.17,30
May-20,5,XRPUSDT,XRP,23687631.49,29452328.15,30
May-20,6,LTCUSDT,LTC,21535671.47,25207831.14,30
May-20,7,DASHUSDT,DASH,10048674.14,9982871.732,30
